Dublin.Core.Title,Dublin.Core.Description,Dublin.Core.Creator,Dublin.Core.Date,Dublin.Core.Identifier,Dublin.Core.Rights,Dublin.Core.Type,Dublin.Core.Format,twitter_query,twitter_ids_count,twitter_links_count,indexed_links_count
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-06,01065b15306fd3d836e5a47a89af91ce,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Ukraina,58698,1702,364
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-06,138e0c46ab91785b9cd3fbd96202ab67,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Rosja,51453,1523,820
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-12,1d61d65fd5d56905157b3303e18efd6f,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Rosja,15942,1554,1650
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-06,1f09f615c409352132c9852e609459ef,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Ukraina,73505,1982,950
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-15,2023cf3cbd8b37b05a6939e5272d3247,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Kijów,12334,120,134
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-07,2023cf3cbd8b37b05a6939e5272d324z,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Kijów,16765,172,116
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-12,3e9134e903574200625d1385d970a201,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,sejm,1055,98,100
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-12,50369263ddeed722860939a830206e3d,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,dworzec,704,24,29
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-11,505f86123ac139cd79d45e386517faf2,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,pomoc,5656,75,79
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-12,505f86123ac139cd79d45e386517faff,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,pomoc,8796,40,44
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-14,6cd8bffd986617959c9581b2ce3ed8c3,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Ukraina,34107,3397,3415
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-12,83fcbe3d00b906f186b0eff05d37f173,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,uchodźcy,14467,184,209
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-11,a7e33fb65fe788b85aa86c1ad0dbcf23,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,granica,1285,28,30
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-11,c1a4acab63c36ee8fdb0546b916ae8c4,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Kijów,526,47,47
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-11,dedb8c4951245a6699d3281d695928c8,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,uchodźcy,15488,363,391
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-11,efba5dcb307c61f616afe790c8fcb052,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Warszawa,11644,805,853
