"Dublin.Core.Title","Dublin.Core.Description","Dublin.Core.Creator","Dublin.Core.Date","Dublin.Core.Identifier","Dublin.Core.Rights","Dublin.Core.Type","Dublin.Core.Format","twitter_query","twitter_ids_count","twitter_links_count","indexed_links_count","files"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2022-12-29","1f02b702fd75a4281f03c4dd6d3790b3","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","kościół",6157,249,219,"https://aspw.pl/aspw_temp/1f02b702fd75a4281f03c4dd6d3790b3/all_tweets_id.csv;https://aspw.pl/aspw_temp/1f02b702fd75a4281f03c4dd6d3790b3/domains.json;https://aspw.pl/aspw_temp/1f02b702fd75a4281f03c4dd6d3790b3/tags.csv;https://aspw.pl/aspw_temp/1f02b702fd75a4281f03c4dd6d3790b3/twitter_links.csv;https://aspw.pl/aspw_temp/1f02b702fd75a4281f03c4dd6d3790b3/meta.csv;https://aspw.pl/aspw_temp/1f02b702fd75a4281f03c4dd6d3790b3/base_index.json;https://aspw.pl/aspw_temp/1f02b702fd75a4281f03c4dd6d3790b3/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-01-03","42a474fbf448ad203d7073993fd65749","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","nowy rok",16767,646,584,"https://aspw.pl/aspw_temp/42a474fbf448ad203d7073993fd65749/all_tweets_id.csv;https://aspw.pl/aspw_temp/42a474fbf448ad203d7073993fd65749/domains.json;https://aspw.pl/aspw_temp/42a474fbf448ad203d7073993fd65749/tags.csv;https://aspw.pl/aspw_temp/42a474fbf448ad203d7073993fd65749/twitter_links.csv;https://aspw.pl/aspw_temp/42a474fbf448ad203d7073993fd65749/meta.csv;https://aspw.pl/aspw_temp/42a474fbf448ad203d7073993fd65749/base_index.json;https://aspw.pl/aspw_temp/42a474fbf448ad203d7073993fd65749/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-01-04","56a26cf099b8b931d69c0347dce31d14","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","sylwester",12852,656,584,"https://aspw.pl/aspw_temp/56a26cf099b8b931d69c0347dce31d14/all_tweets_id.csv;https://aspw.pl/aspw_temp/56a26cf099b8b931d69c0347dce31d14/domains.json;https://aspw.pl/aspw_temp/56a26cf099b8b931d69c0347dce31d14/tags.csv;https://aspw.pl/aspw_temp/56a26cf099b8b931d69c0347dce31d14/twitter_links.csv;https://aspw.pl/aspw_temp/56a26cf099b8b931d69c0347dce31d14/meta.csv;https://aspw.pl/aspw_temp/56a26cf099b8b931d69c0347dce31d14/base_index.json;https://aspw.pl/aspw_temp/56a26cf099b8b931d69c0347dce31d14/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2022-12-12","571952f229e1e50a65b924d01e74e843","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","zima",3134,116,106,"https://aspw.pl/aspw_temp/571952f229e1e50a65b924d01e74e843/all_tweets_id.csv;https://aspw.pl/aspw_temp/571952f229e1e50a65b924d01e74e843/domains.json;https://aspw.pl/aspw_temp/571952f229e1e50a65b924d01e74e843/tags.csv;https://aspw.pl/aspw_temp/571952f229e1e50a65b924d01e74e843/twitter_links.csv;https://aspw.pl/aspw_temp/571952f229e1e50a65b924d01e74e843/meta.csv;https://aspw.pl/aspw_temp/571952f229e1e50a65b924d01e74e843/base_index.json;https://aspw.pl/aspw_temp/571952f229e1e50a65b924d01e74e843/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-01-04","7cb91e6089e48bdf123a99be05d48aa8","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","smog",241,17,16,"https://aspw.pl/aspw_temp/7cb91e6089e48bdf123a99be05d48aa8/all_tweets_id.csv;https://aspw.pl/aspw_temp/7cb91e6089e48bdf123a99be05d48aa8/domains.json;https://aspw.pl/aspw_temp/7cb91e6089e48bdf123a99be05d48aa8/tags.csv;https://aspw.pl/aspw_temp/7cb91e6089e48bdf123a99be05d48aa8/twitter_links.csv;https://aspw.pl/aspw_temp/7cb91e6089e48bdf123a99be05d48aa8/meta.csv;https://aspw.pl/aspw_temp/7cb91e6089e48bdf123a99be05d48aa8/base_index.json;https://aspw.pl/aspw_temp/7cb91e6089e48bdf123a99be05d48aa8/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2022-12-30","7cf7675c9fa5c7c98b37556e210b2101","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","prezydent",6632,482,427,"https://aspw.pl/aspw_temp/7cf7675c9fa5c7c98b37556e210b2101/all_tweets_id.csv;https://aspw.pl/aspw_temp/7cf7675c9fa5c7c98b37556e210b2101/domains.json;https://aspw.pl/aspw_temp/7cf7675c9fa5c7c98b37556e210b2101/tags.csv;https://aspw.pl/aspw_temp/7cf7675c9fa5c7c98b37556e210b2101/twitter_links.csv;https://aspw.pl/aspw_temp/7cf7675c9fa5c7c98b37556e210b2101/meta.csv;https://aspw.pl/aspw_temp/7cf7675c9fa5c7c98b37556e210b2101/base_index.json;https://aspw.pl/aspw_temp/7cf7675c9fa5c7c98b37556e210b2101/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2022-12-28","8640ec14fa78e650bf62960a8215b7f4","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","święta",59207,1638,1444,"https://aspw.pl/aspw_temp/8640ec14fa78e650bf62960a8215b7f4/all_tweets_id.csv;https://aspw.pl/aspw_temp/8640ec14fa78e650bf62960a8215b7f4/domains.json;https://aspw.pl/aspw_temp/8640ec14fa78e650bf62960a8215b7f4/tags.csv;https://aspw.pl/aspw_temp/8640ec14fa78e650bf62960a8215b7f4/twitter_links.csv;https://aspw.pl/aspw_temp/8640ec14fa78e650bf62960a8215b7f4/meta.csv;https://aspw.pl/aspw_temp/8640ec14fa78e650bf62960a8215b7f4/base_index.json;https://aspw.pl/aspw_temp/8640ec14fa78e650bf62960a8215b7f4/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-01-05","9aae4effdb601718497dbdb4bd2b4cf3","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","Benedykt",3924,540,487,"https://aspw.pl/aspw_temp/9aae4effdb601718497dbdb4bd2b4cf3/all_tweets_id.csv;https://aspw.pl/aspw_temp/9aae4effdb601718497dbdb4bd2b4cf3/domains.json;https://aspw.pl/aspw_temp/9aae4effdb601718497dbdb4bd2b4cf3/tags.csv;https://aspw.pl/aspw_temp/9aae4effdb601718497dbdb4bd2b4cf3/twitter_links.csv;https://aspw.pl/aspw_temp/9aae4effdb601718497dbdb4bd2b4cf3/meta.csv;https://aspw.pl/aspw_temp/9aae4effdb601718497dbdb4bd2b4cf3/base_index.json;https://aspw.pl/aspw_temp/9aae4effdb601718497dbdb4bd2b4cf3/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-01-05","b49f9edef6c991f2068f88901774fa44","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","granica",2764,71,63,"https://aspw.pl/aspw_temp/b49f9edef6c991f2068f88901774fa44/all_tweets_id.csv;https://aspw.pl/aspw_temp/b49f9edef6c991f2068f88901774fa44/domains.json;https://aspw.pl/aspw_temp/b49f9edef6c991f2068f88901774fa44/tags.csv;https://aspw.pl/aspw_temp/b49f9edef6c991f2068f88901774fa44/twitter_links.csv;https://aspw.pl/aspw_temp/b49f9edef6c991f2068f88901774fa44/meta.csv;https://aspw.pl/aspw_temp/b49f9edef6c991f2068f88901774fa44/base_index.json;https://aspw.pl/aspw_temp/b49f9edef6c991f2068f88901774fa44/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-01-03","e3a9f41a6343d99c446416f9cf288e28","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","PiS",49695,1323,1224,"https://aspw.pl/aspw_temp/e3a9f41a6343d99c446416f9cf288e28/all_tweets_id.csv;https://aspw.pl/aspw_temp/e3a9f41a6343d99c446416f9cf288e28/domains.json;https://aspw.pl/aspw_temp/e3a9f41a6343d99c446416f9cf288e28/tags.csv;https://aspw.pl/aspw_temp/e3a9f41a6343d99c446416f9cf288e28/twitter_links.csv;https://aspw.pl/aspw_temp/e3a9f41a6343d99c446416f9cf288e28/meta.csv;https://aspw.pl/aspw_temp/e3a9f41a6343d99c446416f9cf288e28/base_index.json;https://aspw.pl/aspw_temp/e3a9f41a6343d99c446416f9cf288e28/tags.csv"
